Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,FVG_Size,FVG_Type_Encoded,OB_Type_Encoded,Recovery_Type_Encoded,Close_lag1,Close_lag2,Close_lag3
2001-01-30,-2.1874049496118007,-2.185355375637215,-2.19282017044613,-2.1941012342583277,-0.12407379317387147,-2.1845134034503078,-2.172006478246982,-2.1882279036392025,-2.1828459512795377,-0.5458724350051463,-0.3860997025167924,-0.41366879332013956,-0.006252835344483286,-2.19707653366612,-2.1845134034503078,-2.1659451180187625,-0.28837218282230065,1,2,1,-2.1946550538080882,-2.1948185457676885,-2.190522603460781
2001-01-31,-2.1871428943395776,-2.186918066124264,-2.190709166224361,-2.188074285571185,-0.16843818076587797,-2.1848814390635596,-2.171980070394417,-2.187902010259031,-2.1829555903761415,-0.5188499107566459,-0.3705252335571136,-0.41019048919825496,0.03062427512423184,-2.1981081916958765,-2.1848814390635596,-2.1656118387729824,-0.43822441768407394,2,2,1,-2.1875786390727194,-2.1948185457676885,-2.1949797349655906
2001-02-01,-2.1795437712533587,-2.179365154832223,-2.1838486239516994,-2.185191918772993,-0.17426380741937378,-2.1848157181318153,-2.1718374673458443,-2.186454505684651,-2.182491531469146,0.16702521352594885,-0.3352945111220223,-0.3998174253456221,0.10709765020064552,-2.197826636187044,-2.1848157181318153,-2.1657740802258747,-0.35497543436740187,1,2,1,-2.187316534826412,-2.187740856336846,-2.1949797349655906
2001-02-02,-2.1832123051603567,-2.181188227498997,-2.183320852764613,-2.180737221046323,-0.1855789668809714,-2.1848420040977405,-2.1717635256810244,-2.185795364602069,-2.182334883654322,-0.1898175850301004,-0.31730044697260457,-0.3876421728541318,0.12708666404882554,-2.1979082424056227,-2.1848420040977405,-2.1657419145354675,-0.35497543436740187,0,2,2,-2.1797159915814146,-2.187478704876927,-2.187900780225409
2001-02-05,-2.188191035460428,-2.1874389894471937,-2.1870150094944867,-2.1883363407259315,-0.18240474723002817,-2.185210039710993,-2.171821621667221,-2.186005326372558,-2.1825603891498955,-0.6130839271978042,-0.31676425688637144,-0.3777864492942302,0.10135955927461178,-2.198861889086467,-2.185210039710993,-2.165490972394511,-0.005328688214438132,0,2,1,-2.1833852110807594,-2.1798767925236406,-2.187638581899533
2001-02-06,-2.193169845728541,-2.1923874430880663,-2.1957227509219512,-2.191480842646876,-0.1886411552501166,-2.185827818073902,-2.1719483806489777,-2.186950695195568,-2.18313974625499,-0.9743852374165328,-0.32991222756658456,-0.3727345863264089,0.048077436732383794,-2.199962363326684,-2.185827818073902,-2.165597787982989,-0.17182665484778234,0,2,1,-2.1883648718286555,-2.1835466729703246,-2.180035310519295
2001-02-07,-2.194480042121615,-2.193429210252186,-2.194139517887269,-2.194363289413074,-0.1833756850056108,-2.1864455964368115,-2.1721332356169314,-2.1879526487135115,-2.1837737014292053,-1.0630641834237393,-0.34313612376289515,-0.37154216990152217,0.005270302823283777,-2.200881707419437,-2.1864455964368115,-2.165895777447405,-0.43822441768407394,2,2,0,-2.1933446125595375,-2.188527230719209,-2.183705847046476
2001-02-08,-2.2015550546633875,-2.193429210252186,-2.2010001406865074,-2.1925289832978554,-0.1890892803773086,-2.1870502298111147,-2.172661392668228,-2.1898913888204943,-2.1848872658051284,-1.4900756897209728,-0.37276122907561127,-0.37697093324839875,-0.06816865428443074,-2.1999685683190977,-2.1870502298111147,-2.1681008749951185,-0.12187929730366083,0,2,0,-2.1946550538080882,-2.193507868465488,-2.1886872951913428
2001-02-09,-2.2020791652078335,-2.201242583205692,-2.2031110643816993,-2.2003901581322105,-0.1895747492650999,-2.1875891422536737,-2.1731842678266498,-2.1916126765719146,-2.1859573516757775,-1.5188063792638358,-0.3961573595505754,-0.3863546146074264,-0.11203471203708701,-2.199216822833121,-2.1875891422536737,-2.1700007031925264,-0.43822441768407394,2,2,0,-2.2017313885604706,-2.1948185457676885,-2.1936688233479047
2001-02-12,-2.199982802998091,-2.1960336679033547,-2.2002084839058775,-2.1951493749093074,-0.18893990533491126,-2.188009753810064,-2.1734853163788044,-2.1927459017409907,-2.1867921468989486,-1.2918483791497617,-0.4069097694397152,-0.39617815462653005,-0.11691341377669805,-2.198926637644469,-2.188009753810064,-2.1711705032995114,-0.35497543436740187,1,2,0,-2.2022555970530853,-2.201896155201137,-2.1949797349655906
